x,y,HCP0.32f30000h0,HCP0.71f30000h0,HCP1.18f30000h0,elevation,VCP0.32f30000h0,VCP0.71f30000h0,VCP1.18f30000h0
730833.6638,5026088.404,19.60214414,26.90686411,29.88296359,5,16.24166479,22.9804208,28.67706532
730833.8001,5026089.501,19.18214414,26.20686411,29.03296359,5,15.60166479,22.4304208,28.18706532
730833.9506,5026090.602,18.40214414,25.78686411,29.30296359,5,14.97166479,21.5304208,26.93706532
730834.0752,5026091.734,17.86214414,25.74686411,29.32296359,5,14.01166479,20.2804208,25.77706532
730834.2,5026092.823,17.38214414,24.77686411,27.04296359,4.99,13.57166479,19.3804208,23.87706532
730834.3249,5026093.946,15.17214414,21.26686411,24.41296359,5,11.62166479,16.1604208,20.21706532
730834.4597,5026095.048,12.37214414,18.51686411,23.12296359,4.99,9.29166479,13.3704208,17.64706532
730834.6888,5026096.147,10.34214414,16.26686411,20.79296359,5.01,8.24166479,12.2604208,16.31706532
730834.8526,5026097.243,9.762144144,15.33686411,19.87296359,4.99,8.28166479,12.0404208,16.09706532
730835.0242,5026098.341,9.782144144,15.57686411,19.95296359,4.97,8.36166479,12.0704208,16.21706532
730835.2058,5026099.449,10.23214414,16.05686411,20.55296359,4.97,8.33166479,12.2104208,16.32706532
730835.3197,5026100.551,10.57214414,16.62686411,21.40296359,4.94,8.70166479,12.8504208,17.33706532
730835.4308,5026101.658,10.93214414,17.44686411,22.88296359,4.92,8.95166479,13.6204208,19.04706532
730835.6269,5026102.765,11.99214414,19.44686411,25.27296359,4.88,12.28166479,17.2904208,22.62706532
